
Country Name,Series Name,2000 [YR2000,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Uganda,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",13.61,13.47,13.33,13.2,13.06,12.92,13.04,13.15,13.27,13.38,13.5,13.83,14.16,14.48,14.81,15.14,15.12,15.11,15.09,..
Uganda,Prevalence of current tobacco use (% of adults),24.7,23.52,22.34,21.16,19.98,18.8,17.9,17,16.1,15.2,14.3,13.62,12.94,12.26,11.58,10.9,10.23,9.57,8.9,8.9
Ukraine,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",12.46,12.37,12.28,12.19,12.1,12.01,12.32,12.63,12.95,13.26,13.57,12.89,12.21,11.52,10.84,10.16,9.55,8.93,8.32,..
Ukraine,Prevalence of current tobacco use (% of adults),37.7,37.02,36.34,35.66,34.98,34.3,33.66,33.02,32.38,31.74,31.1,30.56,30.02,29.48,28.94,28.4,27.67,26.93,26.2,26.2
United Arab Emirates,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.58,2.79,3,3.22,3.43,3.64,3.54,3.44,3.35,3.25,3.15,3.28,3.41,3.53,3.66,3.79,3.83,3.86,3.9,..
United Arab Emirates,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
United Kingdom,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",13.73,13.76,13.79,13.83,13.86,13.89,13.52,13.16,12.79,12.43,12.06,11.89,11.72,11.55,11.38,11.21,11.29,11.37,11.45,..
United Kingdom,Prevalence of current tobacco use (% of adults),37.9,36.34,34.78,33.22,31.66,30.1,28.9,27.7,26.5,25.3,24.1,23.14,22.18,21.22,20.26,19.3,18.23,17.17,16.1,16.1
United States of America,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",9.19,9.25,9.31,9.37,9.43,9.49,9.46,9.44,9.41,9.39,9.36,9.45,9.54,9.64,9.73,9.82,9.84,9.85,9.87,..
United States of America,Prevalence of current tobacco use (% of adults),33.8,33.16,32.52,31.88,31.24,30.6,30.08,29.56,29.04,28.52,28,27.46,26.92,26.38,25.84,25.3,24.67,24.03,23.4,23.4
Uruguay,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",8.09,7.96,7.84,7.71,7.59,7.46,7.39,7.32,7.24,7.17,7.1,7.08,7.06,7.03,7.01,6.99,6.97,6.94,6.92,..
Uruguay,Prevalence of current tobacco use (% of adults),35.3,34.48,33.66,32.84,32.02,31.2,30.46,29.72,28.98,28.24,27.5,26.86,26.22,25.58,24.94,24.3,23.53,22.77,22,22
Uzbekistan,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.68,5.37,5.07,4.76,4.46,4.15,3.92,3.69,3.47,3.24,3.01,2.93,2.84,2.76,2.67,2.59,2.59,2.59,2.59,..
Uzbekistan,Prevalence of current tobacco use (% of adults),24.9,24.46,24.02,23.58,23.14,22.7,22.34,21.98,21.62,21.26,20.9,20.54,20.18,19.82,19.46,19.1,18.67,18.23,17.8,17.8
Vanuatu,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.17,1.18,1.18,1.19,1.19,1.2,1.3,1.4,1.5,1.6,1.7,1.79,1.88,1.96,2.05,2.14,2.18,2.21,2.25,..
Vanuatu,Prevalence of current tobacco use (% of adults),25.6,25.14,24.68,24.22,23.76,23.3,22.9,22.5,22.1,21.7,21.3,20.92,20.54,20.16,19.78,19.4,19,18.6,18.2,18.2
Venezuela,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",9.15,9.2,9.26,9.31,9.37,9.42,9.27,9.12,8.97,8.82,8.67,8.3,7.93,7.56,7.19,6.82,5.93,5.03,4.14,..
Venezuela,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Vietnam,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.21,2.29,2.38,2.46,2.55,2.63,3.08,3.54,3.99,4.45,4.9,5.49,6.08,6.68,7.27,7.86,8.13,8.39,8.66,..
Vietnam,Prevalence of current tobacco use (% of adults),29.8,29.5,29.2,28.9,28.6,28.3,28.04,27.78,27.52,27.26,27,26.8,26.6,26.4,26.2,26,25.67,25.33,25,25
Yemen,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.79,0.7,0.61,0.52,0.43,0.34,0.31,0.28,0.24,0.21,0.18,0.16,0.13,0.11,0.08,0.06,0.05,0.05,0.05,..
Yemen,Prevalence of current tobacco use (% of adults),27.3,26.9,26.5,26.1,25.7,25.3,24.92,24.54,24.16,23.78,23.4,23.08,22.76,22.44,22.12,21.8,21.37,20.93,20.5,20.5
Zambia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",4.05,4.02,3.99,3.96,3.93,3.9,4.21,4.51,4.82,5.12,5.43,5.72,6.01,6.31,6.6,6.89,6.77,6.66,6.54,..
Zambia,Prevalence of current tobacco use (% of adults),19.9,19.54,19.18,18.82,18.46,18.1,17.82,17.54,17.26,16.98,16.7,16.46,16.22,15.98,15.74,15.5,15.2,14.9,14.6,14.6
Zimbabwe,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.46,2.52,2.58,2.65,2.71,2.77,3,3.23,3.47,3.7,3.93,4.13,4.33,4.52,4.72,4.92,4.84,4.75,4.67,..
=======
Country Name,Series Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,Prevalence of current tobacco use (% of adults),36.9,36.06,35.22,34.38,33.54,32.7,31.98,31.26,30.54,29.82,29.1,28.48,27.86,27.24,26.62,26,25.26666667,24.53333333,23.8,23.8
Albania,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",6.57,6.786,7.002,7.218,7.434,7.65,7.658,7.666,7.674,7.682,7.69,7.5,7.31,7.12,6.93,6.74,6.883333333,7.026666667,7.17,7.17
Albania,Prevalence of current tobacco use (% of adults),35,34.26,33.52,32.78,32.04,31.3,30.64,29.98,29.32,28.66,28,27.42,26.84,26.26,25.68,25.1,24.4,23.7,23,23
Algeria,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.58,0.626,0.672,0.718,0.764,0.81,0.778,0.746,0.714,0.682,0.65,0.706,0.762,0.818,0.874,0.93,0.936666667,0.943333333,0.95,0.95
Algeria,Prevalence of current tobacco use (% of adults),22.2,22.12,22.04,21.96,21.88,21.8,21.74,21.68,21.62,21.56,21.5,21.42,21.34,21.26,21.18,21.1,21.06666667,21.03333333,21,21
Angola,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.76,3.186,3.612,4.038,4.464,4.89,5.544,6.198,6.852,7.506,8.16,8.12,8.08,8.04,8,7.96,7.62,7.28,6.94,6.94
Antigua and Barbuda,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.13,5.178,5.226,5.274,5.322,5.37,5.416,5.462,5.508,5.554,5.6,5.658,5.716,5.774,5.832,5.89,6.053333333,6.216666667,6.38,6.38
Argentina,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",8.75,8.732,8.714,8.696,8.678,8.66,8.746,8.832,8.918,9.004,9.09,9.182,9.274,9.366,9.458,9.55,9.583333333,9.616666667,9.65,9.65
Argentina,Prevalence of current tobacco use (% of adults),34,33.5,33,32.5,32,31.5,30.98,30.46,29.94,29.42,28.9,28.44,27.98,27.52,27.06,26.6,26.03333333,25.46666667,24.9,24.9
Armenia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",4.23,4.542,4.854,5.166,5.478,5.79,5.77,5.75,5.73,5.71,5.69,5.72,5.75,5.78,5.81,5.84,5.743333333,5.646666667,5.55,5.55
Armenia,Prevalence of current tobacco use (% of adults),32,31.66,31.32,30.98,30.64,30.3,29.96,29.62,29.28,28.94,28.6,28.26,27.92,27.58,27.24,26.9,26.53333333,26.16666667,25.8,25.8
Australia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",11.72,11.792,11.864,11.936,12.008,12.08,12.142,12.204,12.266,12.328,12.39,12.078,11.766,11.454,11.142,10.83,10.72333333,10.61666667,10.51,10.51
Australia,Prevalence of current tobacco use (% of adults),24.4,23.74,23.08,22.42,21.76,21.1,20.52,19.94,19.36,18.78,18.2,17.7,17.2,16.7,16.2,15.7,15.13333333,14.56666667,14,14
Austria,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",13.12,13.054,12.988,12.922,12.856,12.79,12.672,12.554,12.436,12.318,12.2,12.174,12.148,12.122,12.096,12.07,12.03333333,11.99666667,11.96,11.96
Austria,Prevalence of current tobacco use (% of adults),52.3,50.6,48.9,47.2,45.5,43.8,42.46,41.12,39.78,38.44,37.1,35.92,34.74,33.56,32.38,31.2,29.83333333,28.46666667,27.1,27.1
Azerbaijan,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",3.45,3.122,2.794,2.466,2.138,1.81,2.042,2.274,2.506,2.738,2.97,3.292,3.614,3.936,4.258,4.58,4.523333333,4.466666667,4.41,4.41
Azerbaijan,Prevalence of current tobacco use (% of adults),28.7,28.48,28.26,28.04,27.82,27.6,27.32,27.04,26.76,26.48,26.2,26,25.8,25.6,25.4,25.2,24.86666667,24.53333333,24.2,24.2
"Bahamas, The","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.58,5.32,5.06,4.8,4.54,4.28,4.248,4.216,4.184,4.152,4.12,4.206,4.292,4.378,4.464,4.55,4.626666667,4.703333333,4.78,4.78
"Bahamas, The",Prevalence of current tobacco use (% of adults),10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.68,10.66,10.64,10.62,10.6,10.63333333,10.66666667,10.7,10.7
Bahrain,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.74,1.744,1.748,1.752,1.756,1.76,1.746,1.732,1.718,1.704,1.69,1.612,1.534,1.456,1.378,1.3,1.23,1.16,1.09,1.09
Bahrain,Prevalence of current tobacco use (% of adults),22.2,21.76,21.32,20.88,20.44,20,19.62,19.24,18.86,18.48,18.1,17.76,17.42,17.08,16.74,16.4,16,15.6,15.2,15.2
Bangladesh,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.23,0.216,0.202,0.188,0.174,0.16,0.16,0.16,0.16,0.16,0.16,0.1322,0.1044,0.0766,0.0488,0.021,0.020333333,0.019666667,0.019,0.019
Bangladesh,Prevalence of current tobacco use (% of adults),57.6,56.14,54.68,53.22,51.76,50.3,49.04,47.78,46.52,45.26,44,42.98,41.96,40.94,39.92,38.9,37.66666667,36.43333333,35.2,35.2
Barbados,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",7.11,7.168,7.226,7.284,7.342,7.4,7.51,7.62,7.73,7.84,7.95,8.226,8.502,8.778,9.054,9.33,9.45,9.57,9.69,9.69
Barbados,Prevalence of current tobacco use (% of adults),10.2,10.1,10,9.9,9.8,9.7,9.6,9.5,9.4,9.3,9.2,9.12,9.04,8.96,8.88,8.8,8.7,8.6,8.5,8.5
Belarus,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",15.17,15.196,15.222,15.248,15.274,15.3,15.726,16.152,16.578,17.004,17.43,16.344,15.258,14.172,13.086,12,11.81666667,11.63333333,11.45,11.45
Belarus,Prevalence of current tobacco use (% of adults),41.8,41.2,40.6,40,39.4,38.8,38.2,37.6,37,36.4,35.8,35.24,34.68,34.12,33.56,33,32.3,31.6,30.9,30.9
Belgium,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",12.49,12.618,12.746,12.874,13.002,13.13,12.784,12.438,12.092,11.746,11.4,11.484,11.568,11.652,11.736,11.82,11.57333333,11.32666667,11.08,11.08
Belgium,Prevalence of current tobacco use (% of adults),33.4,32.82,32.24,31.66,31.08,30.5,30,29.5,29,28.5,28,27.54,27.08,26.62,26.16,25.7,25.1,24.5,23.9,23.9
Belize,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.55,5.872,6.194,6.516,6.838,7.16,7.144,7.128,7.112,7.096,7.08,7.012,6.944,6.876,6.808,6.74,6.566666667,6.393333333,6.22,6.22
Belize,Prevalence of current tobacco use (% of adults),15,14.6,14.2,13.8,13.4,13,12.66,12.32,11.98,11.64,11.3,10.98,10.66,10.34,10.02,9.7,9.4,9.1,8.8,8.8
Benin,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.46,2.414,2.368,2.322,2.276,2.23,2.278,2.326,2.374,2.422,2.47,2.57,2.67,2.77,2.87,2.97,2.916666667,2.863333333,2.81,2.81
Benin,Prevalence of current tobacco use (% of adults),16.7,16.04,15.38,14.72,14.06,13.4,12.86,12.32,11.78,11.24,10.7,10.28,9.86,9.44,9.02,8.6,8.133333333,7.666666667,7.2,7.2
Bhutan,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.77,2.536,2.302,2.068,1.834,1.6,1.464,1.328,1.192,1.056,0.92,0.82,0.72,0.62,0.52,0.42,0.423333333,0.426666667,0.43,0.43
Bolivia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",3.44,3.626,3.812,3.998,4.184,4.37,4.608,4.846,5.084,5.322,5.56,5.376,5.192,5.008,4.824,4.64,4.57,4.5,4.43,4.43
Bolivia,Prevalence of current tobacco use (% of adults),32.1,30.66,29.22,27.78,26.34,24.9,23.82,22.74,21.66,20.58,19.5,18.72,17.94,17.16,16.38,15.6,14.8,14,13.2,13.2
Bosnia and Herzegovina,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",6.37,6.536,6.702,6.868,7.034,7.2,7.224,7.248,7.272,7.296,7.32,7.24,7.16,7.08,7,6.92,6.996666667,7.073333333,7.15,7.15
Bosnia and Herzegovina,Prevalence of current tobacco use (% of adults),46.6,45.96,45.32,44.68,44.04,43.4,42.78,42.16,41.54,40.92,40.3,39.78,39.26,38.74,38.22,37.7,36.96666667,36.23333333,35.5,35.5
Botswana,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",9.05,9.162,9.274,9.386,9.498,9.61,9.412,9.214,9.016,8.818,8.62,8.268,7.916,7.564,7.212,6.86,6.77,6.68,6.59,6.59
Botswana,Prevalence of current tobacco use (% of adults),33.2,32.26,31.32,30.38,29.44,28.5,27.76,27.02,26.28,25.54,24.8,24.18,23.56,22.94,22.32,21.7,21.06666667,20.43333333,19.8,19.8
Brazil,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",8.78,8.688,8.596,8.504,8.412,8.32,8.354,8.388,8.422,8.456,8.49,8.364,8.238,8.112,7.986,7.86,7.713333333,7.566666667,7.42,7.42
Brazil,Prevalence of current tobacco use (% of adults),23.8,23.12,22.44,21.76,21.08,20.4,19.8,19.2,18.6,18,17.4,16.9,16.4,15.9,15.4,14.9,14.33333333,13.76666667,13.2,13.2
Brunei Darussalam,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.23,0.226,0.222,0.218,0.214,0.21,0.27,0.33,0.39,0.45,0.51,0.5,0.49,0.48,0.47,0.46,0.466666667,0.473333333,0.48,0.48
Brunei Darussalam,Prevalence of current tobacco use (% of adults),16.7,16.66,16.62,16.58,16.54,16.5,16.48,16.46,16.44,16.42,16.4,16.38,16.36,16.34,16.32,16.3,16.26666667,16.23333333,16.2,16.2
Bulgaria,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",11.8,11.724,11.648,11.572,11.496,11.42,11.4,11.38,11.36,11.34,11.32,11.524,11.728,11.932,12.136,12.34,12.44333333,12.54666667,12.65,12.65
Bulgaria,Prevalence of current tobacco use (% of adults),47.5,47,46.5,46,45.5,45,44.58,44.16,43.74,43.32,42.9,42.46,42.02,41.58,41.14,40.7,40.26666667,39.83333333,39.4,39.4
Burkina Faso,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",8.4,8.558,8.716,8.874,9.032,9.19,9.068,8.946,8.824,8.702,8.58,9.23,9.88,10.53,11.18,11.83,11.89666667,11.96333333,12.03,12.03
Burkina Faso,Prevalence of current tobacco use (% of adults),29.8,28.78,27.76,26.74,25.72,24.7,23.86,23.02,22.18,21.34,20.5,19.8,19.1,18.4,17.7,17,16.3,15.6,14.9,14.9
Burundi,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",9.82,9.544,9.268,8.992,8.716,8.44,8.284,8.128,7.972,7.816,7.66,7.534,7.408,7.282,7.156,7.03,7.083333333,7.136666667,7.19,7.19
Burundi,Prevalence of current tobacco use (% of adults),24,23.16,22.32,21.48,20.64,19.8,19.16,18.52,17.88,17.24,16.6,16.06,15.52,14.98,14.44,13.9,13.33333333,12.76666667,12.2,12.2
Cabo Verde,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",6.03,6.214,6.398,6.582,6.766,6.95,7.062,7.174,7.286,7.398,7.51,7.198,6.886,6.574,6.262,5.95,5.833333333,5.716666667,5.6,5.6
Cabo Verde,Prevalence of current tobacco use (% of adults),20.6,20.04,19.48,18.92,18.36,17.8,17.28,16.76,16.24,15.72,15.2,14.78,14.36,13.94,13.52,13.1,12.63333333,12.16666667,11.7,11.7
Cambodia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.87,2.034,2.198,2.362,2.526,2.69,3.134,3.578,4.022,4.466,4.91,5.202,5.494,5.786,6.078,6.37,6.46,6.55,6.64,6.64
Cambodia,Prevalence of current tobacco use (% of adults),42.3,41.04,39.78,38.52,37.26,36,34.82,33.64,32.46,31.28,30.1,29.12,28.14,27.16,26.18,25.2,24.1,23,21.9,21.9
Cameroon,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",6.69,6.876,7.062,7.248,7.434,7.62,7.782,7.944,8.106,8.268,8.43,7.978,7.526,7.074,6.622,6.17,5.996666667,5.823333333,5.65,5.65
Cameroon,Prevalence of current tobacco use (% of adults),12.8,12.48,12.16,11.84,11.52,11.2,10.9,10.6,10.3,10,9.7,9.44,9.18,8.92,8.66,8.4,8.1,7.8,7.5,7.5
Canada,Prevalence of current tobacco use (% of adults),28.4,27.38,26.36,25.34,24.32,23.3,22.5,21.7,20.9,20.1,19.3,18.6,17.9,17.2,16.5,15.8,15.06666667,14.33333333,13.6,13.6
Central African Republic,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",3.68,3.668,3.656,3.644,3.632,3.62,3.692,3.764,3.836,3.908,3.98,3.67,3.36,3.05,2.74,2.43,2.413333333,2.396666667,2.38,2.38
Chad,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",4.34,4.396,4.452,4.508,4.564,4.62,5.012,5.404,5.796,6.188,6.58,5.554,4.528,3.502,2.476,1.45,1.423333333,1.396666667,1.37,1.37
Chad,Prevalence of current tobacco use (% of adults),13.9,13.56,13.22,12.88,12.54,12.2,11.9,11.6,11.3,11,10.7,10.44,10.18,9.92,9.66,9.4,9.1,8.8,8.5,8.5
Chile,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",7.74,7.978,8.216,8.454,8.692,8.93,9.006,9.082,9.158,9.234,9.31,9.3,9.29,9.28,9.27,9.26,9.196666667,9.133333333,9.07,9.07
Chile,Prevalence of current tobacco use (% of adults),46.9,45.86,44.82,43.78,42.74,41.7,40.78,39.86,38.94,38.02,37.1,36.26,35.42,34.58,33.74,32.9,31.9,30.9,29.9,29.9
China,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",3.81,3.852,3.894,3.936,3.978,4.02,4.63,5.24,5.85,6.46,7.07,7.086,7.102,7.118,7.134,7.15,7.116666667,7.083333333,7.05,7.05
China,Prevalence of current tobacco use (% of adults),26.7,26.68,26.66,26.64,26.62,26.6,26.52,26.44,26.36,26.28,26.2,26.14,26.08,26.02,25.96,25.9,25.83333333,25.76666667,25.7,25.7
Colombia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.58,5.546,5.512,5.478,5.444,5.41,5.336,5.262,5.188,5.114,5.04,5.188,5.336,5.484,5.632,5.78,5.766666667,5.753333333,5.74,5.74
Colombia,Prevalence of current tobacco use (% of adults),15.1,14.72,14.34,13.96,13.58,13.2,12.84,12.48,12.12,11.76,11.4,11.1,10.8,10.5,10.2,9.9,9.533333333,9.166666667,8.8,8.8
Comoros,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.19,0.24,0.29,0.34,0.39,0.44,0.402,0.364,0.326,0.288,0.25,0.376,0.502,0.628,0.754,0.88,0.816666667,0.753333333,0.69,0.69
Comoros,Prevalence of current tobacco use (% of adults),39.5,38.16,36.82,35.48,34.14,32.8,31.78,30.76,29.74,28.72,27.7,26.86,26.02,25.18,24.34,23.5,22.6,21.7,20.8,20.8
"Congo, Dem. Rep.","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.95,0.932,0.914,0.896,0.878,0.86,1.038,1.216,1.394,1.572,1.75,1.81,1.87,1.93,1.99,2.05,2.033333333,2.016666667,2,2
"Congo, Dem. Rep.",Prevalence of current tobacco use (% of adults),18.8,18.42,18.04,17.66,17.28,16.9,16.6,16.3,16,15.7,15.4,15.12,14.84,14.56,14.28,14,13.66666667,13.33333333,13,13
"Congo, Rep.","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",3.45,3.51,3.57,3.63,3.69,3.75,4.234,4.718,5.202,5.686,6.17,6.516,6.862,7.208,7.554,7.9,8.356666667,8.813333333,9.27,9.27
"Congo, Rep.",Prevalence of current tobacco use (% of adults),11.9,11.96,12.02,12.08,12.14,12.2,12.32,12.44,12.56,12.68,12.8,12.94,13.08,13.22,13.36,13.5,13.76666667,14.03333333,14.3,14.3
Costa Rica,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.55,5.524,5.498,5.472,5.446,5.42,5.296,5.172,5.048,4.924,4.8,4.792,4.784,4.776,4.768,4.76,4.796666667,4.833333333,4.87,4.87
Costa Rica,Prevalence of current tobacco use (% of adults),18,17.4,16.8,16.2,15.6,15,14.52,14.04,13.56,13.08,12.6,12.18,11.76,11.34,10.92,10.5,10.03333333,9.566666667,9.1,9.1
Cote d'Ivoire,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",7.25,6.46,5.67,4.88,4.09,3.3,3.146,2.992,2.838,2.684,2.53,2.546,2.562,2.578,2.594,2.61,2.643333333,2.676666667,2.71,2.71
Cote d'Ivoire,Prevalence of current tobacco use (% of adults),18.7,18.12,17.54,16.96,16.38,15.8,15.28,14.76,14.24,13.72,13.2,12.78,12.36,11.94,11.52,11.1,10.63333333,10.16666667,9.7,9.7
Croatia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",12.45,12.022,11.594,11.166,10.738,10.31,10.264,10.218,10.172,10.126,10.08,9.878,9.676,9.474,9.272,9.07,9.123333333,9.176666667,9.23,9.23
Croatia,Prevalence of current tobacco use (% of adults),34.4,34.5,34.6,34.7,34.8,34.9,35,35.1,35.2,35.3,35.4,35.54,35.68,35.82,35.96,36.1,36.3,36.5,36.7,36.7
Cuba,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",4.98,5.056,5.132,5.208,5.284,5.36,5.292,5.224,5.156,5.088,5.02,5.15,5.28,5.41,5.54,5.67,5.723333333,5.776666667,5.83,5.83
Cuba,Prevalence of current tobacco use (% of adults),40.8,39.28,37.76,36.24,34.72,33.2,31.96,30.72,29.48,28.24,27,26,25,24,23,22,20.9,19.8,18.7,18.7
Cyprus,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",10.86,11.174,11.488,11.802,12.116,12.43,12.214,11.998,11.782,11.566,11.35,11.232,11.114,10.996,10.878,10.76,10.77666667,10.79333333,10.81,10.81
Cyprus,Prevalence of current tobacco use (% of adults),40.9,40.56,40.22,39.88,39.54,39.2,38.9,38.6,38.3,38,37.7,37.44,37.18,36.92,36.66,36.4,36.1,35.8,35.5,35.5
Czechia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",15,14.952,14.904,14.856,14.808,14.76,14.62,14.48,14.34,14.2,14.06,14.098,14.136,14.174,14.212,14.25,14.31666667,14.38333333,14.45,14.45
Czechia,Prevalence of current tobacco use (% of adults),34.2,34.04,33.88,33.72,33.56,33.4,33.18,32.96,32.74,32.52,32.3,32.12,31.94,31.76,31.58,31.4,31.23333333,31.06666667,30.9,30.9
Denmark,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",12.67,12.594,12.518,12.442,12.366,12.29,12.032,11.774,11.516,11.258,11,10.872,10.744,10.616,10.488,10.36,10.32666667,10.29333333,10.26,10.26
Denmark,Prevalence of current tobacco use (% of adults),37.3,36,34.7,33.4,32.1,30.8,29.74,28.68,27.62,26.56,25.5,24.62,23.74,22.86,21.98,21.1,20.1,19.1,18.1,18.1
Djibouti,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.62,1.552,1.484,1.416,1.348,1.28,1.158,1.036,0.914,0.792,0.67,0.634,0.598,0.562,0.526,0.49,0.47,0.45,0.43,0.43
Dominican Republic,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",7.19,6.982,6.774,6.566,6.358,6.15,6.142,6.134,6.126,6.118,6.11,6.21,6.31,6.41,6.51,6.61,6.633333333,6.656666667,6.68,6.68
Dominican Republic,Prevalence of current tobacco use (% of adults),18.7,18.18,17.66,17.14,16.62,16.1,15.66,15.22,14.78,14.34,13.9,13.56,13.22,12.88,12.54,12.2,11.76666667,11.33333333,10.9,10.9
Ecuador,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.96,5.93,5.9,5.87,5.84,5.81,5.88,5.95,6.02,6.09,6.16,5.924,5.688,5.452,5.216,4.98,4.72,4.46,4.2,4.2
Ecuador,Prevalence of current tobacco use (% of adults),18.4,17.96,17.52,17.08,16.64,16.2,15.86,15.52,15.18,14.84,14.5,14.16,13.82,13.48,13.14,12.8,12.4,12,11.6,11.6
